         532113 function calls (529176 primitive calls) in 1.863 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3934    0.002    0.000    0.003    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\builder\_htmlparser.py:222(handle_data)
        1    0.002    0.002    0.002    0.002 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\dammit.py:969(_to_unicode)
     8450    0.002    0.000    0.003    0.000 {built-in method builtins.next}
     4216    0.001    0.000    0.002    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:2007(is_empty_element)
     8550    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     8523    0.001    0.000    0.001    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:3090(descendants)
      366    0.001    0.000    1.272    0.003 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\socket.py:706(readinto)
       22    0.001    0.000    0.156    0.007 {method 'join' of 'bytes' objects}
      787    0.001    0.000    0.004    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:618(_attribute_match)
     4097    0.001    0.000    0.002    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\__init__.py:1068(handle_data)
    13607    0.001    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\typing.py:2371(cast)
     4217    0.001    0.000    0.001    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\builder\__init__.py:290(can_be_empty_element)
     4941    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       69    0.001    0.000    0.132    0.002 {method 'read' of '_io.BufferedReader' objects}
     2824    0.001    0.000    0.006    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\html\__init__.py:122(unescape)
     4457    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3026    0.001    0.000    0.001    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:292(matches_string)
     1515    0.001    0.000    0.002    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:629(_match_attribute_value_helper)
     4217    0.001    0.000    0.001    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\builder\__init__.py:636(set_up_substitutions)
      366    0.001    0.000    1.268    0.003 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1129(read)
     4081    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     4078    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     4482    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     4216    0.001    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\_markupbase.py:36(getpos)
     3987    0.001    0.000    0.001    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\html\parser.py:181(clear_cdata_mode)
     2745    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4293    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3813    0.001    0.000    0.001    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\filter.py:259(_base_match)
      366    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       46    0.000    0.000    0.154    0.003 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:1364(read_chunked)
       72    0.000    0.000    1.141    0.016 {method 'readline' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
      366    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2659    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
     4311    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:2414(__bool__)
      906    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:2355(get)
